open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
118,123,121,118.00,,7441,422,2.48,-3.00,121,2020-09-07 14:00:58,SAPDBL
167,168,167,167.00,,1017,64,1.76,-3.00,170,2020-09-07 14:00:58,JFL
235,238,238,236.00,,12702,231,0.84,-2.00,238,2020-09-07 14:00:58,LBL
1460,1470,1469,1460.00,,3990,300,0.95,-14.00,1474,2020-09-07 14:00:58,LICN
505,522,522,514.00,,18020,500,0.39,2.00,512,2020-09-07 14:00:58,LGIL
369,397,397,380.00,,24499,50,0.26,1.00,379,2020-09-07 14:00:58,BPCL
141,148,146,145.00,,29923,200,0.69,1.00,144,2020-09-07 14:00:58,HIDCL
666,699,680,674.00,,6002,24,0.74,-5.00,679,2020-09-07 14:00:58,NADEP
279,284,279,283.00,,7932,990,0.35,1.00,282,2020-09-07 14:00:58,MFIL
101,107,101,106.00,,7045,150,0,0.00,106,2020-09-07 14:00:58,BFC
55,60,58,56.00,,5847,200,1.75,-1.00,57,2020-09-07 14:00:58,DHPL
343,347,347,345.00,,13197,11,1.15,-4.00,349,2020-09-07 14:00:58,SANIMA
1334,1363,1350,1348.00,,40324,63,0.37,-5.00,1353,2020-09-07 14:00:58,SICL
691,703,700,697.00,,1210,10,0.71,-5.00,702,2020-09-07 14:00:58,ACLBSL
105,109,109,106.00,,12375,85,2.75,-3.00,109,2020-09-07 14:00:58,BARUN
506,526,525,520.00,,8159,500,0.95,-5.00,525,2020-09-07 14:00:58,RSDC
683,690,690,685.00,,303,20,1.01,-7.00,692,2020-09-07 14:00:58,CLBSL
10,10,10,10.26,,32910,200,0.88,0.09,10,2020-09-07 14:00:58,NBF2
750,771,771,765.00,,14180,30,0.78,-6.00,771,2020-09-07 14:00:58,NLICL
727,745,735,740.00,,10824,50,1.33,-10.00,750,2020-09-07 14:00:58,SIL
529,544,533,537.00,,37612,25,1.1,-6.00,543,2020-09-07 14:00:58,NICL
122,146,134,132.00,,3860,10,1.49,-2.00,134,2020-09-07 14:00:58,PPCL
911,928,915,922.00,,401,38,0,0.00,922,2020-09-07 14:00:58,SLBS
61,65,63,64.00,,5450,20,1.59,1.00,63,2020-09-07 14:00:58,AKJCL
93,96,95,93.00,,3290,10,2.11,-2.00,95,2020-09-07 14:00:58,PMHPL
1240,1257,1240,1250.00,,3055,1000,0.32,-4.00,1254,2020-09-07 14:00:58,SWBBL
127,135,131,128.00,,41112,100,3.03,-4.00,132,2020-09-07 14:00:58,API
1361,1384,1380,1374.00,,34195,20,0,0.00,1374,2020-09-07 14:00:58,NLIC
359,362,362,359.00,,5207,1000,0.28,-1.00,360,2020-09-07 14:00:58,NIBPO
9720,9800,9800,9780.00,,136,10,0.64,62.00,9718,2020-09-07 14:00:58,RBCL
156,159,157,158.00,,4899,270,0,0.00,158,2020-09-07 14:00:58,SHL
82,86,82,86.00,,7665,20,8.86,7.00,79,2020-09-07 14:00:58,JOSHI
192,195,195,193.00,,28294,44,1.03,-2.00,195,2020-09-07 14:00:58,CZBIL
118,129,129,121.00,,89995,150,1.63,-2.00,123,2020-09-07 14:00:58,AHPC
725,735,726,726.00,,12157,968,1.36,-10.00,736,2020-09-07 14:00:58,EBL
421,425,425,422.00,,21335,49,1.4,-6.00,428,2020-09-07 14:00:58,NIB
762,775,772,773.00,,2173,11,1.53,-12.00,785,2020-09-07 14:00:58,ILBS
820,830,825,822.00,,2850,10,0.96,-8.00,830,2020-09-07 14:00:58,SDLBSL
9,9,9,9.10,,55710,7600,0,0.00,9,2020-09-07 14:00:58,SEF
10,10,10,10.03,,4759,2496,0.5,-0.05,10,2020-09-07 14:00:58,NMBHF1
9,9,9,8.53,,29080,355,3.51,-0.31,9,2020-09-07 14:00:58,NIBLPF
225,229,227,227.00,,27128,3168,0.87,-2.00,229,2020-09-07 14:00:58,MBL
527,544,531,538.00,,7299,50,0.19,-1.00,539,2020-09-07 14:00:58,PICL
650,662,660,654.00,,8680,20,0.91,-6.00,660,2020-09-07 14:00:58,SCB
1758,1794,1761,1775.00,,8343,10,0.28,-5.00,1780,2020-09-07 14:00:58,HDL
